Valoare1,Valoare2,Suma
0.11015891416341439,0.013002366442064206,0.1231612806054786
0.2678742670391502,0.23938651469542316,0.5072607817345733
0.36060034550412623,0.3743620586825316,0.7349624041866578
0.43822888047007136,0.42527315441151203,0.8635020348815834
0.47350325578761465,0.42948021542642534,0.90298347121404
0.4754554206085305,0.43208714965468364,0.9075425702632142
0.6087236948998435,0.6705528325358863,1.2792765274357296
0.6299676262290345,0.8553182253162709,1.4852858515453053
0.6832853181405816,0.8690670413198033,1.552352359460385
0.8172903304347257,0.9985379766448591,1.8158283070795846
